Day,Population_Density,Test_per_Million_Cases,Previous_day_Cases,Difference,Present_day_Cases
34,73,9148,657,71,713
35,73,9148,713,56,790
36,73,9148,790,77,867
37,73,9148,867,77,963
38,73,9148,963,96,1011
39,73,9148,1011,48,1079
40,73,9148,1079,68,1126
41,73,9148,1126,47,1182
42,73,9148,1182,56,1222
43,73,9148,1222,40,1282
44,73,9148,1282,60,1343
45,73,9148,1343,61,1407
46,73,9148,1407,64,1495
47,73,9148,1495,88,1534
48,73,9148,1534,39,1600
49,73,9148,1600,66,1650
50,73,9148,1650,50,1704
51,73,9148,1704,54,1741
52,73,9148,1741,37,1791
53,73,9148,1791,50,1814
54,73,9148,1814,23,1832
55,73,9148,1832,18,1871
56,73,9148,1871,39,1881
57,73,9148,1881,10,1908
58,73,9148,1908,27,1950
59,73,9148,1950,42,1981
60,73,9148,1981,31,2009
61,73,9148,2009,28,2016
62,73,9148,2016,7,2030
3,101,24645,6,5,8
4,101,24645,8,2,12
5,101,24645,12,4,16
6,101,24645,16,4,25
7,101,24645,25,9,34
8,101,24645,34,9,57
9,101,24645,57,23,96
10,101,24645,96,39,141
11,101,24645,141,45,181
12,101,24645,181,40,219
13,101,24645,219,38,253
14,101,24645,253,34,275
15,101,24645,275,22,286
16,101,24645,286,11,319
17,101,24645,319,33,341
18,101,24645,341,22,383
19,101,24645,383,42,414
20,101,24645,414,31,442
21,101,24645,442,28,480
22,101,24645,480,38,528
23,101,24645,528,48,562
24,101,24645,562,34,632
25,101,24645,632,70,684
26,101,24645,684,52,730
27,101,24645,730,46,756
28,101,24645,756,26,802
29,101,24645,802,46,841
30,101,24645,841,39,897
31,101,24645,897,56,934
32,101,24645,934,37,977
33,101,24645,977,43,997
34,101,24645,997,20,1021
35,101,24645,1021,24,1059
36,101,24645,1059,38,1091
37,101,24645,1091,32,1124
38,101,24645,1124,33,1160
39,101,24645,1160,36,1188
40,101,24645,1188,28,1205
41,101,24645,1205,17,1212
42,101,24645,1212,7,1220
43,101,24645,1220,8,1248
44,101,24645,1248,28,1268
45,101,24645,1268,20,1304
46,101,24645,1304,36,1317
47,101,24645,1317,13,1330
48,101,24645,1330,13,1335
49,101,24645,1335,5,1344
50,101,24645,1344,9,1353
51,101,24645,1353,9,1366
52,101,24645,1366,13,1373
53,101,24645,1373,7,1388
54,101,24645,1388,15,1396
55,101,24645,1396,8,1402
56,101,24645,1402,6,1408
57,101,24645,1408,6,1418
58,101,24645,1418,10,1429
59,101,24645,1429,11,1434
3,111,17358,3,0,5
4,111,17358,5,2,7
5,111,17358,7,2,7
6,111,17358,7,0,10
7,111,17358,10,3,21
8,111,17358,21,11,32
9,111,17358,32,11,44
10,111,17358,44,12,61
11,111,17358,61,17,72
12,111,17358,72,11,97
13,111,17358,97,25,105
14,111,17358,105,8,124
15,111,17358,124,19,137
16,111,17358,137,13,178
17,111,17358,178,41,185
18,111,17358,185,7,186
19,111,17358,186,1,204
20,111,17358,204,18,216
21,111,17358,216,12,226
22,111,17358,226,10,269
23,111,17358,269,43,292
24,111,17358,292,23,314
25,111,17358,314,22,336
26,111,17358,336,22,363
27,111,17358,363,27,400
28,111,17358,400,37,426
29,111,17358,426,26,450
30,111,17358,450,24,471
31,111,17358,471,21,485
32,111,17358,485,14,534
33,111,17358,534,49,581
34,111,17358,581,47,682
35,111,17358,682,101,701
36,111,17358,701,19,715
37,111,17358,715,14,728
38,111,17358,728,13,742
39,111,17358,742,14,769
40,111,17358,769,27,835
41,111,17358,835,66,863
42,111,17358,863,28,977
43,111,17358,977,114,1049
44,111,17358,1049,72,1089
45,111,17358,1089,40,1161
46,111,17358,1161,72,1173
47,111,17358,1173,12,1199
48,111,17358,1199,26,1244
49,111,17358,1244,45,1325
50,111,17358,1325,81,1360
51,111,17358,1360,35,1373
52,111,17358,1373,13,1379
53,111,17358,1379,6,1381
54,111,17358,1381,2,1384
55,111,17358,1384,3,1391
56,111,17358,1391,7,1396
57,111,17358,1396,5,1403
3,219,31890,1,0,8
4,219,31890,8,7,15
5,219,31890,15,7,19
6,219,31890,19,4,24
7,219,31890,24,5,30
8,219,31890,30,6,58
9,219,31890,58,28,93
10,219,31890,93,35,120
11,219,31890,120,27,214
12,219,31890,214,94,268
13,219,31890,268,54,332
14,219,31890,332,64,374
15,219,31890,374,42,497
16,219,31890,497,123,652
17,219,31890,652,155,868
18,219,31890,868,216,1139
19,219,31890,1139,271,1375
20,219,31890,1375,236,2217
21,219,31890,2217,842,2353
22,219,31890,2353,136,2742
23,219,31890,2742,389,3115
24,219,31890,3115,373,4222
25,219,31890,4222,1107,5615
26,219,31890,5615,1393,6863
27,219,31890,6863,1248,7474
28,219,31890,7474,611,8795
29,219,31890,8795,1321,9877
30,219,31890,9877,1082,10897
31,219,31890,10897,1020,11811
32,219,31890,11811,914,12928
33,219,31890,12928,1117,14076
34,219,31890,14076,1148,14829
35,219,31890,14829,753,15922
36,219,31890,15922,1093,16605
37,219,31890,16605,683,17768
38,219,31890,17768,1163,18827
39,219,31890,18827,1059,19606
40,219,31890,19606,779,20505
41,219,31890,20505,899,21100
42,219,31890,21100,595,21657
43,219,31890,21657,557,22253
44,219,31890,22253,596,23280
45,219,31890,23280,1027,24051
46,219,31890,24051,771,24551
47,219,31890,24551,500,25107
48,219,31890,25107,556,25415
49,219,31890,25415,308,25688
50,219,31890,25688,273,25936
51,219,31890,25936,248,26336
52,219,31890,26336,400,26732
53,219,31890,26732,396,27078
54,219,31890,27078,346,27404
55,219,31890,27404,326,27740
56,219,31890,27740,336,27944
57,219,31890,27944,204,28063
58,219,31890,28063,119,28268
59,219,31890,28268,205,28496
60,219,31890,28496,228,28677
61,219,31890,28677,181,28894
62,219,31890,28894,217,29061
3,19,18373,1,0,1
4,19,18373,1,0,1
5,19,18373,1,0,1
6,19,18373,1,0,1
7,19,18373,1,0,1
8,19,18373,1,0,1
9,19,18373,1,0,1
10,19,18373,1,0,1
11,19,18373,1,0,1
12,19,18373,1,0,2
13,19,18373,2,1,2
14,19,18373,2,0,3
15,19,18373,3,1,3
16,19,18373,3,0,6
17,19,18373,6,3,7
18,19,18373,7,1,7
19,19,18373,7,0,7
20,19,18373,7,0,12
21,19,18373,12,5,15
22,19,18373,15,3,19
23,19,18373,19,4,25
24,19,18373,25,6,33
25,19,18373,33,8,40
26,19,18373,40,7,65
27,19,18373,65,25,109
28,19,18373,109,44,155
29,19,18373,155,46,225
30,19,18373,225,70,244
31,19,18373,244,19,278
32,19,18373,278,34,322
33,19,18373,322,44,359
34,19,18373,359,37,400
35,19,18373,400,41,450
36,19,18373,450,50,523
37,19,18373,523,73,626
38,19,18373,626,103,700
39,19,18373,700,74,792
40,19,18373,792,92,880
41,19,18373,880,88,958
42,19,18373,958,78,1041
43,19,18373,1041,83,1167
44,19,18373,1167,126,1240
45,19,18373,1240,73,1352
46,19,18373,1352,112,1418
47,19,18373,1418,66,1446
48,19,18373,1446,28,1518
49,19,18373,1518,72,1615
50,19,18373,1615,97,1882
51,19,18373,1882,267,1927
52,19,18373,1927,45,2176
53,19,18373,2176,249,2308
54,19,18373,2308,132,2487
55,19,18373,2487,179,2605
56,19,18373,2605,118,2769
57,19,18373,2769,164,2905
58,19,18373,2905,136,2974
59,19,18373,2974,69,3064
60,19,18373,3064,90,3161
61,19,18373,3161,97,3237
62,19,18373,3237,76,3369
